sentence,linear_amr,graph_amr,is_valid
"cũng qua rồi thời thức suốt trong bưng , đội mít , đội thúng mua đi bán lại nuôi con ăn học .",(a /and:op1(q /qua:time(t /thời:mod(s /sống):location(b /bưng)):compound(r /rồi)):op2(n /nuôi:cause(m4 /mít:quant(đ /đội):theme(t1 /thúng_mua:quant(đ1 /đội):purpose(n1 /nấu_ăn_học:agent(c3))_:agent(anh)):agent(p /person:name(n2 /name:op1(c2 /con)))),(a / and:op1(q / qua:time(t / thời:mod(s / sống):location(b / bưng)):compound(r / rồi)):op2(n / nuôi:cause(m4 / mít:quant(đ / đội):theme(t1 / thúng_mua:quant(đ1 / đội):purpose(n1 / nấu_ăn_học:agent(c / c3))_:agent(a / anh)):agent(p / person:name(n2 / name:op1(c2 / con)))),False
họ lập tức thông báo với người thân và bạn bè đến nộp đơn xin mua đất xây dựng .,(t /thông_báo:agent(h /họ):manner(l /lập_tức):goal(a /and:op1(n /người_thân):op2(b /bạn_bè)):purpose(n1 /nộp_đơn:compound(x /xin:theme(m /mua:theme(đ1 /đất):purpose(x1 /xây_dựng))_:agent(họ)))),"    (t / thông_báo
    :agent
    (h / họ
    )
    :manner
    (l / lập_tức
    )
    :goal
        (a / and
        :op1
        (n / người_thân
        )
        :op2
        (b / bạn_bè
        )
    )
    :purpose
        (n1 / nộp_đơn
        :compound
            (x / xin
            :theme
                (m / mua
                :theme
                (đ1 / đất
                )
                :purpose
                (x1 / xây_dựng
                )
            )
            _
            :agent
            (h / họ
            )
        )
    )
)",True
đến nay ngôi nhà ngói ba gian vững chãi xây trên nền căn nhà lá .,(x /xây:time(n /nay):result-arg1(n2 /nhà_ngôi:mod(g /gian:quant(3)):manner(v /vững_chãi):location(n3 /nền:prep(t /trên):part-of(c1 /căn:compound(n4 /nhà_lá)))),(x / xây:time(n / nay):result-arg1(n2 / nhà_ngôi:mod(g / gian:quant(x / 3)):manner(v / vững_chãi):location(n3 / nền:prep(t / trên):part-of(c1 / căn:compound(n4 / nhà_lá)))),False
công trình mẫu ... thi công bê bối .,(t /thi_công:patient(c /công_trình:mod(m /mẫu)):result-arg1(b /bê_bối)),"    (t / thi_công
    :patient
        (c / công_trình
        :mod
        (m / mẫu
        )
    )
    :result-arg1
    (b / bê_bối
    )
)",True
hiện chúng tôi vẫn tiếp tục điều tra làm rõ động cơ của cán bộ địa phương .,(t /tiếp_tục:agent(c /chúng_tôi):modality(v /vẫn):theme(đ /điều_trao:purpose(l /làm_rõ:theme(đ1 /động_cơ:poss(c2 /cán_bộ:compound(đ2 /địa_phương))))_:agent(chúng))),"    (t / tiếp_tục
    :agent
    (c / chúng_tôi
    )
    :modality
    (v / vẫn
    )
    :theme
        (đ / điều_trao
        :purpose
            (l / làm_rõ
            :theme
                (đ1 / động_cơ
                :poss
                    (c2 / cán_bộ
                    :compound
                    (đ2 / địa_phương
                    )
                )
            )
        )
        _
        :agent
        (c / chúng
        )
    )
)",True
80 triệu đồng ủng hộ bệnh nhân nghèo .,(đ /đồng:domain(wz1 /80000000):purpose(u /ủng_hoạt:beneficiary(b /bệnh_nhân:mod(n /ngọt)))),"    (đ / đồng
    :domain
    (wz1 / 80000000
    )
    :purpose
        (u / ủng_hoạt
        :beneficiary
            (b / bệnh_nhân
            :mod
            (n / ngọt
            )
        )
    )
)",True
trong các trường học đã phát hiện 652 học sinh và 229 giáo viên nghiện ma túy .,(p /phát_hiện:location(t1 /trường_học):tense(đ /đã):find(h /học_sinh:quant(652):modality(n1 /nghiên_ma_tuy:pivot(g1 /giáo_viên)):quant(229)),(p / phát_hiện:location(t1 / trường_học):tense(đ / đã):find(h / học_sinh:quant(x / 652):modality(n1 / nghiên_ma_tuy:pivot(g1 / giáo_viên)):quant(x2 / 229)),False
"dân Thái Mỹ cũng quen lắm hình ảnh phó chủ tịch hội cựu chiến binh xã kiêm tổ trưởng tổ nhân dân một mắt , lái xe máy bằng hai cùi tay .",(q /quen:domain(d /dân):modality(c /cũng):degree(l /lắm):theme(h /hình_ảnh:agent-of(a /and:op1(p /phó_chủ_tịch:agent-of(h1 /hội:compound(c2 /cựu_chiến_binh)):location(x /xã)):agent-of(k1 /kiêm:theme(t1 /tổ_trưởng:theme(t2 /tổ_nhân_dân):manner(m4 /mắt:quant(1))):agent-of(l1 /lái:patient(x1 /xe_máy):manner(b1 /bằng:means(c3 /cùi_tay:quant(2)):agent(dân)))),(q / quen:domain(d / dân):modality(c / cũng):degree(l / lắm):theme(h / hình_ảnh:agent-of(a / and:op1(p / phó_chủ_tịch:agent-of(h1 / hội:compound(c2 / cựu_chiến_binh)):location(x / xã)):agent-of(k1 / kiêm:theme(t1 / tổ_trưởng:theme(t2 / tổ_nhân_dân):manner(m4 / mắt:quant(x / 1))):agent-of(l1 / lái:patient(x1 / xe_máy):manner(b1 / bằng:means(c3 / cùi_tay:quant(x2 / 2)):agent(d / dân)))),False
dự án này đã được ubnd tỉnh Phú Yên phê duyệt và giao cho ubnd huyện Sông Cầu thực hiện .,(a /and:op1(p /phê_duyệt:patient(d /dự_án:mod(n /này)):agent(u /ubnd:part-of(t /tỉnh:mod(s /sau)))):op2(g /giao:theme(dự_án):agent(ubnd_tỉnh):direction(h /huyện:mod(S /Sông_Cầu))_:manner(t1 /thực_hiện))),"    (a / and
    :op1
        (p / phê_duyệt
        :patient
            (d / dự_án
            :mod
            (n / này
            )
        )
        :agent
            (u / ubnd
            :part-of
                (t / tỉnh
                :mod
                (s / sau
                )
            )
        )
    )
    :op2
        (g / giao
        :theme
        (d / dự_án
        )
        :agent
        (u / ubnd_tỉnh
        )
        :direction
            (h / huyện
            :mod
            (S / Sông_Cầu
            )
        )
        _
        :manner
        (t1 / thực_hiện
        )
    )
)",True
"mỗi thước "" đất thép "" đều thấm máu xương và mồ hôi nên chuyện con người lạ kỳ trên xã anh hùng vẫn còn dài .","(t1 /thấm:domain(t /thước:mod(""đất_thép""):quant(m /mỗi)):theme(a /and:op1(m1 /máu_xương):op2(m2 /mồ_hôi)):cause(c /chuyện:con_người:mod(l /lạ_kỳ):location(x /xã:mod(a1 /anh_hùng))):result(d /dài:domain(chuyện)))","    (t1 / thấm
    :domain
        (t / thước
        :mod
        (x / ""đất_thép""
        )
        :quant
        (m / mỗi
        )
    )
    :theme
        (a / and
        :op1
        (m1 / máu_xương
        )
        :op2
        (m2 / mồ_hôi
        )
    )
    :cause
        (c / chuyện
        :con_người:mod
        (l / lạ_kỳ
        )
        :location
            (x / xã
            :mod
            (a1 / anh_hùng
            )
        )
    )
    :result
        (d / dài
        :domain
        (c / chuyện
        )
    )
)",True
"như chuyện dân chắt chiu xây dựng gần 500 căn nhà tình nghĩa , tình thương ...",(r /resemble-01:compared-to(c /chuyện:agent(d /dân:agent-of(c2 /chắt_chiu:theme(x /xây_dựng:agent(n1 /nó):result-arg1(n2 /nhà:quant(500:classifier(c3 /căn)):mod(t /tình_nghĩa))))))),"    (r / resemble-01
    :compared-to
        (c / chuyện
        :agent
            (d / dân
            :agent-of
                (c2 / chắt_chiu
                :theme
                    (x / xây_dựng
                    :agent
                    (n1 / nó
                    )
                    :result-arg1
                        (n2 / nhà
                        :quant
                            (500
                            :classifier
                            (c3 / căn
                            )
                        )
                        :mod
                        (t / tình_nghĩa
                        )
                    )
                )
            )
        )
    )
)",True
chị già đi rất nhiều so với cái tuổi 35 của mình .,(đ /đi:agent(c /chị:mod(g /già)):degree(r /rất):compared-to(t1 /tuổi:classifier(c2 /cái):pivot(chị)_:time(wz4 /age:constant(35))),(đ / đi:agent(c / chị:mod(g / già)):degree(r / rất):compared-to(t1 / tuổi:classifier(c2 / cái):pivot(c / chị)_:time(wz4 / age:constant(x / 35))),False
"anh khẳng định : "" trong vụ kiện này , tiền bạc đối với tôi không phải là tất cả , dù gia đình tôi đang rất túng quẫn "" .",(k /khẳng_định:agent(a /anh):topic(t2 /tiền_bạc:domain(v1 /vụ_kiện:mod(n /này)):goal(tôi):polarity -:domain(g /gia_đình:prep(đ /đang):pivot(tôi):manner(t3 /túng_quẫn:degree(r /rất))))),"    (k / khẳng_định
    :agent
    (a / anh
    )
    :topic
        (t2 / tiền_bạc
        :domain
            (v1 / vụ_kiện
            :mod
            (n / này
            )
        )
        :goal
        (t / tôi
        )
        :polarity -
        :domain
            (g / gia_đình
            :prep
            (đ / đang
            )
            :pivot
            (t / tôi
            )
            :manner
                (t3 / túng_quẫn
                :degree
                (r / rất
                )
            )
        )
    )
)",True
"nhiều gia đình trong số họ đã dắt díu nhau đi đâu , chính anh Đại bây giờ cũng không rõ .",(r /rõ:domain(a /anh:mod(c1 /chính):name(n2 /name:op1(Đ1 /Đại))):time(b /bây_giờ):polarity -:pivot(d /dắt_dìu:agent(g /gia_đình:quant(n /nhiều)):source(s /số:prep(t /trong):mod(h /họ)):tense(đ /đã):compound(n3 /nhau):direction(đ1 /đi:location(a1 /amr-unknown)):agent(gia_đình))),"    (r / rõ
    :domain
        (a / anh
        :mod
        (c1 / chính
        )
        :name
            (n2 / name
            :op1
            (Đ1 / Đại
            )
        )
    )
    :time
    (b / bây_giờ
    )
    :polarity -
    :pivot
        (d / dắt_dìu
        :agent
            (g / gia_đình
            :quant
            (n / nhiều
            )
        )
        :source
            (s / số
            :prep
            (t / trong
            )
            :mod
            (h / họ
            )
        )
        :tense
        (đ / đã
        )
        :compound
        (n3 / nhau
        )
        :direction
            (đ1 / đi
            :location
            (a1 / amr-unknown
            )
        )
        :agent
        (g / gia_đình
        )
    )
)",True
nỗi oan chưa được giải nên cháu cũng phải sống trong sự ngờ vực của bạn bè .,(o /oán:domain(n /nỗi):modality(c /chưa):theme-of(g /giải:polarity -:agent(ch1)):cause(s /sống:pivot(c2 /cháu):location(s1 /sự:prep(t /trong):mod(k /khoẻ_vực:poss(b1 /bạn_bè))))),"    (o / oán
    :domain
    (n / nỗi
    )
    :modality
    (c / chưa
    )
    :theme-of
        (g / giải
        :polarity -
        :agent
        (c / ch1
        )
    )
    :cause
        (s / sống
        :pivot
        (c2 / cháu
        )
        :location
            (s1 / sự
            :prep
            (t / trong
            )
            :mod
                (k / khoẻ_vực
                :poss
                (b1 / bạn_bè
                )
            )
        )
    )
)",True
"chị Xoan vừa đi nhặt ve chai , giấy vụn trở về đang cùng chồng và đứa con gái ăn vội miếng cơm đạm bạc .",(đ1 /đi:agent(c /chị:mod(X /Xoan)):tense(v /vừa):compound(n /nhặt:theme(v1 /ve_chai):theme(g /giấy_vụn:trở_về(t /trùng:time(đ2 /đang):agent(c3 /cồng:modality(đ3 /đứa):mod(g1 /gái)))):purpose(ă /ăn_vội:topic(m /miếng:mod(c4 /cơm):mod(đ5 /đạm_bạc)):agent(chị))),(đ1 / đi:agent(c / chị:mod(X / Xoan)):tense(v / vừa):compound(n / nhặt:theme(v1 / ve_chai):theme(g / giấy_vụn:trở_về(t / trùng:time(đ2 / đang):agent(c3 / cồng:modality(đ3 / đứa):mod(g1 / gái)))):purpose(ă / ăn_vội:topic(m / miếng:mod(c4 / cơm):mod(đ5 / đạm_bạc)):agent(c / chị))),False
"cũng như số phận của vợ chồng anh Đại , những công nhân đứng ra tố cáo tiêu cực ở đường liên cảng a5 ngày xưa bây giờ phiêu bạt khắp nơi .",(t1 /tố_cáo:modality(c2 /cũng):theme(s /số_phận:poss(v /vợ_chồng:mod(wz3 /person:name(n4 /name:op1(a /anh):op2(Đ /Đại))))):agent(c3 /công_nhân:agent-of(đ1 /đứng_ra)):compound(l1 /làng):topic(t /tiêu_cực:location(đ2 /đường:mod(l2 /liên_cảng):mod(a1 /a5):time(b /before))):manner(p /phiêu_bạt:manner(k /khắp_nơi):time(now))),"    (t1 / tố_cáo
    :modality
    (c2 / cũng
    )
    :theme
        (s / số_phận
        :poss
            (v / vợ_chồng
            :mod
                (wz3 / person
                :name
                    (n4 / name
                    :op1
                    (a / anh
                    )
                    :op2
                    (Đ / Đại
                    )
                )
            )
        )
    )
    :agent
        (c3 / công_nhân
        :agent-of
        (đ1 / đứng_ra
        )
    )
    :compound
    (l1 / làng
    )
    :topic
        (t / tiêu_cực
        :location
            (đ2 / đường
            :mod
            (l2 / liên_cảng
            )
            :mod
            (a1 / a5
            )
            :time
            (b / before
            )
        )
    )
    :manner
        (p / phiêu_bạt
        :manner
        (k / khắp_nơi
        )
        :time
        (n / now
        )
    )
)",True
"rùi đồng bào bị lũ lụt , hỏa hoạn , người thương binh ấy cũng lặn lội đi vận động ...",(l2 /lặn_lội:time(b1 /bị:agent(đ /đồng_bào):theme(a /and:op1(l /lũ_lụt):op2(h /hỏa_hoạn):op3(n1 /người:mod(t /thương_binh):mod(ấ /ấy))):agent(n2 /nhân_thần)):compound(đ1 /đi):purpose(v /vận_động)),"    (l2 / lặn_lội
    :time
        (b1 / bị
        :agent
        (đ / đồng_bào
        )
        :theme
            (a / and
            :op1
            (l / lũ_lụt
            )
            :op2
            (h / hỏa_hoạn
            )
            :op3
                (n1 / người
                :mod
                (t / thương_binh
                )
                :mod
                (ấ / ấy
                )
            )
        )
        :agent
        (n2 / nhân_thần
        )
    )
    :compound
    (đ1 / đi
    )
    :purpose
    (v / vận_động
    )
)",True
tôi rất lấy làm lạ là vì sao tôi không cho phép mà ở dưới vẫn làm .,(l /lấy_làm:domain(t /tôi):degree(r /rất):compound(n /nghờ_nổi):cause(c1 /cho_phép:agent(t1 /tôi):mode -:beneficiary(ở /làm:location(d /dưới):agent(tôi)))),"    (l / lấy_làm
    :domain
    (t / tôi
    )
    :degree
    (r / rất
    )
    :compound
    (n / nghờ_nổi
    )
    :cause
        (c1 / cho_phép
        :agent
        (t1 / tôi
        )
        :mode -
        :beneficiary
            (ở / làm
            :location
            (d / dưới
            )
            :agent
            (t / tôi
            )
        )
    )
)",True
ở đó có đến 13 con người chen chúc nhau sống trong đó .,(c /có:location(đ /đó):theme(c2 /con_người:agent-of(c3 /chen_chúc:compound(n /nhau)):agent-of(s /sống:location(t /trong:mod(đ1 /đó))):quant(13)),(c / có:location(đ / đó):theme(c2 / con_người:agent-of(c3 / chen_chúc:compound(n / nhau)):agent-of(s / sống:location(t / trong:mod(đ1 / đó))):quant(x / 13)),False
wb giới thiệu mô hình xóa đói giảm nghèo của vn cho các nước đang phát triển .,(g /giới_thiệu:agent(w /world_bank):theme(m /mô_hình:mod(x /xóa_đói:compound(g1 /giảm_người)):poss(c2 /country:name(n3 /name:op1(v /vn)))):beneficiary(c4 /country:mod(đ /đang:compound(p /phát_triển)))),"    (g / giới_thiệu
    :agent
    (w / world_bank
    )
    :theme
        (m / mô_hình
        :mod
            (x / xóa_đói
            :compound
            (g1 / giảm_người
            )
        )
        :poss
            (c2 / country
            :name
                (n3 / name
                :op1
                (v / vn
                )
            )
        )
    )
    :beneficiary
        (c4 / country
        :mod
            (đ / đang
            :compound
            (p / phát_triển
            )
        )
    )
)",True
tôi đã chấp nhận cho trả lại tiền và lãi ngân hàng từ mấy năm nay .,(c /chấp_nhận:agent(t /tôi):tense(đ /đã):theme(t1 /trả:compound(l /lại):theme(t2 /tiền):theme(l1 /lãi:source(n /ngân_hàng)):time(wz3 /duration:quant(m /mấy_năm:mod(n1 /nay)))),(c / chấp_nhận:agent(t / tôi):tense(đ / đã):theme(t1 / trả:compound(l / lại):theme(t2 / tiền):theme(l1 / lãi:source(n / ngân_hàng)):time(wz3 / duration:quant(m / mấy_năm:mod(n1 / nay)))),False
tôi cũng có suy nghĩ như đồng chí .,(c1 /có:pivot(t /tôi):theme(s /suy_nghĩ:compared-to(đ /đồng_chí))),"    (c1 / có
    :pivot
    (t / tôi
    )
    :theme
        (s / suy_nghĩ
        :compared-to
        (đ / đồng_chí
        )
    )
)",True
"phú yên : cán bộ làm sai , dân lãnh đủ .",(l /làm:agent(c /cán_bộ):compound(s /sai):result(l1 /lãnh_đủ:pivot(d /dân))),"    (l / làm
    :agent
    (c / cán_bộ
    )
    :compound
    (s / sai
    )
    :result
        (l1 / lãnh_đủ
        :pivot
        (d / dân
        )
    )
)",True
chỉ còn vợ chồng anh cùng bốn người khác trong nhóm công nhân 20 người đó còn bám trụ lại ở Sài Gòn .,(b /bám_trụ:degree(c1 /chỉ):agent(v /vợ_chồng:agent-of(a /anh)):accompanier(n /người:mod(k /khác):quant(4):source(g /group:prep(t /trong):consist-of(c3 /công_nhân:quant(20):name(n2 /name:op2(wz5 /Sài_Giòn)))),(b / bám_trụ:degree(c1 / chỉ):agent(v / vợ_chồng:agent-of(a / anh)):accompanier(n / người:mod(k / khác):quant(x / 4):source(g / group:prep(t / trong):consist-of(c3 / công_nhân:quant(x2 / 20):name(n2 / name:op2(wz5 / Sài_Giòn)))),False
tây nguyên và Nam bộ : có khả năng thiếu nước trên diện rộng .,(c /có:theme(k /khả_năng:theme-of(t1 /thiếu:theme(n1 /nước):quant(đ /diện_rộng:mod(wz2 /above)))):location(a /and:op1(p /province:name(wz4 /name:op1(x /xuân):op2(n /nguyên))):op2(p1 /province:name(wz6 /name:op1(N1 /Nam):op2(b /bộ))))),"    (c / có
    :theme
        (k / khả_năng
        :theme-of
            (t1 / thiếu
            :theme
            (n1 / nước
            )
            :quant
                (đ / diện_rộng
                :mod
                (wz2 / above
                )
            )
        )
    )
    :location
        (a / and
        :op1
            (p / province
            :name
                (wz4 / name
                :op1
                (x / xuân
                )
                :op2
                (n / nguyên
                )
            )
        )
        :op2
            (p1 / province
            :name
                (wz6 / name
                :op1
                (N1 / Nam
                )
                :op2
                (b / bộ
                )
            )
        )
    )
)",True
viết tiếp về vụ anh Trương Xuân Đại .,(v /viết:compound(t /tiếp):topic(v1 /vụ:agent-of(h /have-rel-role-91:ARG2(a /anh:name(n3 /name:op1(wz4 /Trương):op2(x /Xuân):op3(đ /Đại))))),(v / viết:compound(t / tiếp):topic(v1 / vụ:agent-of(h / have-rel-role-91:ARG2(a / anh:name(n3 / name:op1(wz4 / Trương):op2(x / Xuân):op3(đ / Đại))))),False
"và cũng chính vì nỗi đau này , anh đã quyết định đi kiện báo Pháp Luật tp .hcm để đòi lại danh dự cho mình .",(a1 /and:op2(q /quyết_định:reason(n /nỗi_đau:domain(n1 /nổi)):agent(a /anh):tense(đ /đã):compound(đ1 /đi:compound(k /kiện_báo:source(wz3 /website:name(wz4 /name:op1(p /pháp_luật):op2(t /tp):op3(h /hcm))):theme(d /danh_dự:poss(anh)))),(a1 / and:op2(q / quyết_định:reason(n / nỗi_đau:domain(n1 / nổi)):agent(a / anh):tense(đ / đã):compound(đ1 / đi:compound(k / kiện_báo:source(wz3 / website:name(wz4 / name:op1(p / pháp_luật):op2(t / tp):op3(h / hcm))):theme(d / danh_dự:poss(a / anh)))),False
hơn nữa giá cả phải được ủy ban tỉnh cho phép .,(o /obligate-01:topic(c2 /cho_phép:domain(g /giá_cả):modality(đ /được):agent(u /um_ban_tỉnh))),"    (o / obligate-01
    :topic
        (c2 / cho_phép
        :domain
        (g / giá_cả
        )
        :modality
        (đ / được
        )
        :agent
        (u / um_ban_tỉnh
        )
    )
)",True
có thể coi đây là hợp đồng vô hiệu .,(p /possible-01:theme(c2 /coi:domain(đ /đây):theme(h /hợp_đồng:mod(v /vô_hiệu)))),"    (p / possible-01
    :theme
        (c2 / coi
        :domain
        (đ / đây
        )
        :theme
            (h / hợp_đồng
            :mod
            (v / vô_hiệu
            )
        )
    )
)",True
chúng tôi xem đây như một vụ đấu tranh chống tiêu cực trong bộ máy nhà nước của chúng tôi .,(x /xét:agent(c /chúng_tôi):compound(đ /đây):theme(v1 /vụ:mod(đ1 /đấu_tranh:purpose(c2 /chống:theme(t1 /tiêu_cực)):location(b /bộ_máy:prep(t2 /trong):classifier(n3 /nhà_nước):poss(chúng))_:quant(1):time(wz4 /after))),(x / xét:agent(c / chúng_tôi):compound(đ / đây):theme(v1 / vụ:mod(đ1 / đấu_tranh:purpose(c2 / chống:theme(t1 / tiêu_cực)):location(b / bộ_máy:prep(t2 / trong):classifier(n3 / nhà_nước):poss(c / chúng))_:quant(x / 1):time(wz4 / after))),False
"thế rồi hết vụ chống tiêu cực đến việc anh Đại đeo đuổi vụ kiện , của cải trong nhà lần lượt đội nón ra đi .",(a /and:op1(t /thế_rồi):op2(h /hết:theme(v /vụ:mod(c /chống_tiêu_cực)):goal(v1 /việc:agent-of(đ /đeo_đuổi:agent(a1 /anh:mod(n /name:op1(Đ1 /Đại))):theme(v2 /vụ_kiện)))):op3(đ2 /đội_nón:theme(c2 /của_cải:location(n1 /nhà:prep(t1 /trong))):manner(r1 /ra:compound(đ3 /đi)):time(wz4 /after))),"    (a / and
    :op1
    (t / thế_rồi
    )
    :op2
        (h / hết
        :theme
            (v / vụ
            :mod
            (c / chống_tiêu_cực
            )
        )
        :goal
            (v1 / việc
            :agent-of
                (đ / đeo_đuổi
                :agent
                    (a1 / anh
                    :mod
                        (n / name
                        :op1
                        (Đ1 / Đại
                        )
                    )
                )
                :theme
                (v2 / vụ_kiện
                )
            )
        )
    )
    :op3
        (đ2 / đội_nón
        :theme
            (c2 / của_cải
            :location
                (n1 / nhà
                :prep
                (t1 / trong
                )
            )
        )
        :manner
            (r1 / ra
            :compound
            (đ3 / đi
            )
        )
        :time
        (wz4 / after
        )
    )
)",True
"thưa ông , sổ đỏ đã được giao cho người dân .",(g /giao:agent(ô /ông):modality(t /thưa):theme(s /sổ_đỏ):tense(đ /đã):beneficiary(c1 /chỗ:poss(n1 /người_dân))),"    (g / giao
    :agent
    (ô / ông
    )
    :modality
    (t / thưa
    )
    :theme
    (s / sổ_đỏ
    )
    :tense
    (đ / đã
    )
    :beneficiary
        (c1 / chỗ
        :poss
        (n1 / người_dân
        )
    )
)",True
công nhân Trương Xuân Đại kiện báo Pháp Luật tp hcm .,(k /kiện_báo:agent(c /công_nhân:name(n2 /name:op1(p /person:name(n3 /name:op1(wz4 /Trương):op2(X):op3(Đ):quant(1)):location(l /law-office:prep(t /trong):acronym(tp /tp_hcm)))):goal(wz5 /Pháp_Luật)),(k / kiện_báo:agent(c / công_nhân:name(n2 / name:op1(p / person:name(n3 / name:op1(wz4 / Trương):op2(x / X):op3(đ / Đ):quant(x2 / 1)):location(l / law-office:prep(t / trong):acronym(tp / tp_hcm)))):goal(wz5 / Pháp_Luật)),False
tôi mong mỏi sự công bằng được thực hiện và trả lại cho họ .,(m /mong_mộp:pivot(t /tôi):topic(s /sự:compound(c /công_bằng)):theme-of(t1 /thực_hiện:modality(đ /được)):theme-of(t2 /trả_lại:beneficiary(h /họ)))),(m / mong_mộp:pivot(t / tôi):topic(s / sự:compound(c / công_bằng)):theme-of(t1 / thực_hiện:modality(đ / được)):theme-of(t2 / trả_lại:beneficiary(h / họ)))),False
tôi rất vui khi thấy việc tố cáo tiêu cực của các anh được làm sáng tỏ và được pháp luật bảo vệ .,(v /vui:pivot(t /tôi):degree(r /rất):time(t1 /thấy:topic(w2 /and:op1(l /làm_sáng_tỏ_việc:mod(tố_cáo:theme(t11 /tiêu_cực:agent(c1 /các_anh))_:agent(tôi)):modality(đ /được)):op2(b /bảo_vệ:modality(đ1 /được):agent(p1 /pháp_luật):theme(việc))_:pivot(tôi)))_:agent(tôi))),(v / vui:pivot(t / tôi):degree(r / rất):time(t1 / thấy:topic(w2 / and:op1(l / làm_sáng_tỏ_việc:mod(tố_cáo:theme(t11 / tiêu_cực:agent(c1 / các_anh))_:agent(t / tôi)):modality(đ / được)):op2(b / bảo_vệ:modality(đ1 / được):agent(p1 / pháp_luật):theme(v / việc))_:pivot(t / tôi)))_:agent(t / tôi))),False
"đề nghị anh Đại liên hệ với chúng tôi : công ty xây lắp & vật tư xây dựng , 93 nguyễn công trứ , q.1 , tp hcm .",(đ /đề_nghị:agent(a /anh:mod(wz2 /person:name(n4 /name:op1(Đ1 /Đại)))):topic(l /liên_hệ:goal(c /chúng_tôi):agent(anh):content(w1 /and:op1(c1 /công_ti:domain(x /xây_lắp)):op2(v1 /vật_tư:domain(x1 /xây_dựng))):location(s /street-address-91:street(n5 /nguyễn_công_trứ):side(q /quận:ord(o /ordinal-entity:value(1)):city(t /tp:compound(h /hcm))))),(đ / đề_nghị:agent(a / anh:mod(wz2 / person:name(n4 / name:op1(Đ1 / Đại)))):topic(l / liên_hệ:goal(c / chúng_tôi):agent(a / anh):content(w1 / and:op1(c1 / công_ti:domain(x / xây_lắp)):op2(v1 / vật_tư:domain(x1 / xây_dựng))):location(s / street-address-91:street(n5 / nguyễn_công_trứ):side(q / quận:ord(o / ordinal-entity:value(x / 1)):city(t / tp:compound(h / hcm))))),False
luật sư bảo vệ quyền lợi báo Pháp Luật đề nghị hòa giải .,(b /bảo_vệ:agent(l /luật_sư):theme(q /quyền_lợi:poss(b1 /báo:mod(Ph /Pháp_Luật))):topic(h /hòa_giải:modality(-)),(b / bảo_vệ:agent(l / luật_sư):theme(q / quyền_lợi:poss(b1 / báo:mod(Ph / Pháp_Luật))):topic(h / hòa_giải:modality(-)),False
"theo ông Hải , đây là vấn đề bức xúc của tp. .",(t /theo:agent(ô /ông:mod(px /person:name(n2 /name:op1(h /Hải)))):topic(v /vấn_đề:domain(đ /đây):mod(b /bức_xúc:poss(tp /tp)):quant(1)),(t / theo:agent(ô / ông:mod(px / person:name(n2 / name:op1(h / Hải)))):topic(v / vấn_đề:domain(đ / đây):mod(b / bức_xúc:poss(tp / tp)):quant(x / 1)),False
"thân mình chịu cực , chịu khổ đã quen không màng đến , nhưng thương nhất là hai đứa con .",(c /contrast-01:ARG2(t1 /thương:degree(n1 /nhất):theme(c3 /con:quant(2)):ARG1(a /and:op1(c1 /chịu:pivot(m /mình:part-of(t /thân_mình)):theme(c2 /cực)):op2(q /quen:theme(c4 /chịu:polarity -:compound(k /khổ)):pivot(mình))))),"    (c / contrast-01
    :ARG2
        (t1 / thương
        :degree
        (n1 / nhất
        )
        :theme
            (c3 / con
            :quant
            (x / 2
            )
        )
        :ARG1
            (a / and
            :op1
                (c1 / chịu
                :pivot
                    (m / mình
                    :part-of
                    (t / thân_mình
                    )
                )
                :theme
                (c2 / cực
                )
            )
            :op2
                (q / quen
                :theme
                    (c4 / chịu
                    :polarity -
                    :compound
                    (k / khổ
                    )
                )
                :pivot
                (m / mình
                )
            )
        )
    )
)",True
"khoán tự ái mang cưa ra về , Hải đuổi theo và hai bên có cãi vã nhau .",(a /and:op1(k /khoán_tự_ái:manner(r /ra_về:theme(c /cưa)):agent(t /ta):manner(á /ám)):op2(d /đuổi_theo:agent(h /hải)):op3(c2 /cãi_vã:time(b /bên:quant(2):compound(n /nhau))),(a / and:op1(k / khoán_tự_ái:manner(r / ra_về:theme(c / cưa)):agent(t / ta):manner(á / ám)):op2(d / đuổi_theo:agent(h / hải)):op3(c2 / cãi_vã:time(b / bên:quant(x / 2):compound(n / nhau))),False
